,lat,lon,,
221,42.25265,-71.78338667,"Worchester, MA",
222,42.247645,-71.82415667,"Worchester, MA",
223,42.24665,-71.79492,"Worchester, MA",
224,42.23902833,-71.792325,"Worchester, MA",
225,42.27555167,-71.78434333,"Worchester, MA",
226,42.26676833,-71.77783,"Worchester, MA",
227,42.261335,-71.77864333,"Worchester, MA",
228,42.25576,-71.78723167,"Worchester, MA",
229,42.25065167,-71.77803167,"Worchester, MA",
230,42.28063333,-71.77688667,"Worchester, MA",
231,42.27964167,-71.77951167,"Worchester, MA",
232,42.28255833,-71.77941833,"Worchester, MA",
233,42.28152,-71.78248,"Worchester, MA",
234,42.28213,-71.78647,"Worchester, MA",
235,42.27685333,-71.783815,"Worchester, MA",
236,42.280282,-71.795805,"Worchester, MA",
237,42.28416,-71.796855,"Worchester, MA",
238,42.28799167,-71.79466167,"Worchester, MA",
239,42.28955833,-71.79052833,"Worchester, MA",
240,42.28981167,-71.78604,"Worchester, MA",
241,42.287535,-71.785325,"Worchester, MA",
242,42.28573833,-71.79054167,"Worchester, MA",
243,42.27649833,-71.79885,"Worchester, MA",
244,42.28291,-71.79364167,"Worchester, MA",
245,42.28211,-71.79010333,"Worchester, MA",
246,42.28791,-71.788605,"Worchester, MA",
247,42.29270167,-71.783155,"Worchester, MA",
248,42.29336833,-71.79069,"Worchester, MA",
249,42.29650167,-71.78885167,"Worchester, MA",
250,42.30029667,-71.78941333,"Worchester, MA",
251,42.303425,-71.78954333,"Worchester, MA",
252,42.30662333,-71.78910833,"Worchester, MA",
253,42.308825,-71.78459833,"Worchester, MA",
254,42.31158833,-71.77512667,"Worchester, MA",
255,42.31372833,-71.77058167,"Worchester, MA",
256,42.309175,-71.76910833,"Worchester, MA",
257,42.30806833,-71.77509833,"Worchester, MA",
258,42.30420833,-71.77044,"Worchester, MA",
259,42.30671291,-71.77176374,"Worchester, MA",
260,42.30509667,-71.76761667,"Worchester, MA",
261,42.30318667,-71.76367333,"Worchester, MA",
262,42.29876667,-71.76525167,"Worchester, MA",
263,42.29634167,-71.76880333,"Worchester, MA",
264,42.294375,-71.77523,"Worchester, MA",
265,42.291695,-71.789055,"Worchester, MA",
266,42.293215,-71.77926833,"Worchester, MA",
267,42.30416833,-71.775725,"Worchester, MA",
268,42.29913,-71.768755,"Worchester, MA",
269,42.30519833,-71.78281167,"Worchester, MA",
270,42.30173167,-71.77164667,"Worchester, MA",
271,42.30715667,-71.78004167,"Worchester, MA",
272,42.30317833,-71.76752667,"Worchester, MA",
273,42.29840333,-71.78462,"Worchester, MA",
274,42.30160667,-71.78429,"Worchester, MA",
275,42.30496333,-71.78691,"Worchester, MA",
276,v,-71.77019333,"Worchester, MA",
277,42.29458833,-71.786205,"Worchester, MA",
278,42.31119667,-71.77986333,"Worchester, MA",
279,42.29636,-71.777935,"Worchester, MA",
280,42.29897333,-71.775995,"Worchester, MA",
281,42.30209833,-71.77628,"Worchester, MA",
282,42.30344833,-71.77958333,"Worchester, MA",
283,42.29957333,-71.78137333,"Worchester, MA",
284,36.13273333,-80.25051,North Carolina,
285,36.12992833,-80.24838167,North Carolina,
286,36.13290833,-80.24361333,North Carolina,
287,36.12711333,-80.24566333,North Carolina,
288,36.13147667,-80.239055,North Carolina,
289,36.12874333,-80.23774167,North Carolina,
290,36.128495,-80.232365,North Carolina,
291,36.12429333,-80.23277833,North Carolina,
292,36.12507167,-80.22804333,North Carolina,
293,36.12109333,-80.22851,North Carolina,
294,36.12019,-80.22287167,North Carolina,
295,36.120485,-80.233865,North Carolina,
296,36.12132333,-80.244735,North Carolina,
297,36.124205,-80.24961333,North Carolina,
298,36.11625333,-80.25397667,North Carolina,
299,36.11669667,-80.239835,North Carolina,
300,36.11700833,-80.23433667,North Carolina,
301,36.11593667,-80.230965,North Carolina,
302,36.11856167,-80.21990167,North Carolina,
303,36.11709167,-80.2222,North Carolina,
304,36.11247167,-80.22048333,North Carolina,
305,36.11520667,-80.21832,North Carolina,
306,36.10972667,-80.22759667,North Carolina,
307,36.11402667,-80.233255,North Carolina,
308,36.11165,-80.23812,North Carolina,
309,36.113752,-80.241386,North Carolina,
310,36.10974,-80.242465,North Carolina,
311,36.10930333,-80.24614333,North Carolina,
312,36.11183667,-80.2512,North Carolina,
313,36.11033333,-80.23437667,North Carolina,
314,36.10751667,-80.23041833,North Carolina,
315,36.10693333,-80.22555167,North Carolina,
316,36.10894167,-80.22059333,North Carolina,
317,36.11149,-80.21384667,North Carolina,
318,36.10613667,-80.21793833,North Carolina,
319,36.09889,-80.21974167,North Carolina,
320,36.10460333,-80.23027833,North Carolina,
321,36.100085,-80.23080667,North Carolina,
322,36.099445,-80.23848667,North Carolina,
323,36.10478833,-80.23475167,North Carolina,
324,36.11389667,-80.226005,North Carolina,
325,36.13248167,-80.24503333,North Carolina,
326,36.11681333,-80.22713333,North Carolina,
327,36.12844167,-80.24129667,North Carolina,
328,36.11891333,-80.23190667,North Carolina,
329,36.11516167,-80.22300667,North Carolina,
330,36.11806,-80.24766333,North Carolina,
331,36.10321833,-80.21229667,North Carolina,
332,36.115565,-80.24923833,North Carolina,
333,36.10516333,-80.22244,North Carolina,
334,36.10546667,-80.22840833,North Carolina,
335,36.11072167,-80.22420333,North Carolina,
336,36.11289,-80.24529,North Carolina,
337,36.09801333,-80.23229417,North Carolina,
338,34.21786667,-77.885675,North Carolina,
339,34.21313333,-77.87866167,North Carolina,
340,34.21795333,-77.874305,North Carolina,
341,34.214395,-77.88569167,North Carolina,
342,34.223315,-77.88347167,North Carolina,
343,34.220455,-77.88140167,North Carolina,
344,34.21408833,-77.882985,North Carolina,
345,34.22039667,-77.87110833,North Carolina,
346,34.22254667,-77.87305833,North Carolina,
347,34.22767,-77.87470167,North Carolina,
348,34.22794167,-77.87023,North Carolina,
349,34.22799167,-77.86733667,North Carolina,
350,34.229295,-77.87531167,North Carolina,
351,34.23653,-77.872085,North Carolina,
352,34.23665,-77.86495833,North Carolina,
353,34.23568167,-77.86341333,North Carolina,
354,34.23230833,-77.86455667,North Carolina,
355,34.22685,-77.876855,North Carolina,
356,34.22670333,-77.86756167,North Carolina,
357,34.22380667,-77.87844,North Carolina,
358,34.23248,-77.86729833,North Carolina,
359,0,0,North Carolina,
360,34.226115,-77.92412667,North Carolina,
361,34.24217167,-77.93997,North Carolina,
362,34.21253167,-77.932745,North Carolina,
363,34.217034,-77.943485,North Carolina,
364,34.23856667,-77.95079833,North Carolina,
365,34.222495,-77.926644,North Carolina,
366,34.24992,-77.94054333,North Carolina,
367,34.22887667,-77.93658667,North Carolina,
368,34.230055,-77.92618667,North Carolina,
369,34.22580333,-77.94531,North Carolina,
370,34.25272167,-77.94134,North Carolina,
371,34.21877167,-77.93487667,North Carolina,
372,34.22049667,-77.946605,North Carolina,
373,34.21514167,-77.936585,North Carolina,
374,34.23003,-77.94235667,North Carolina,
375,34.25039667,-77.94571333,North Carolina,
376,34.21548167,-77.92973667,North Carolina,
377,34.24132833,-77.929165,North Carolina,
378,34.22152667,-77.942335,North Carolina,
379,34.21759333,-77.94165833,North Carolina,
380,34.23721,-77.93218,North Carolina,
381,34.22915,-77.92904,North Carolina,
382,34.217599,-77.92622,North Carolina,
383,34.23572,-77.93828167,North Carolina,
384,34.231055,-77.93833667,North Carolina,
385,34.22570333,-77.93044833,North Carolina,
386,34.24552333,-77.941,North Carolina,
387,34.22143167,-77.92663833,North Carolina,
388,34.24875,-77.93793833,North Carolina,
389,34.24080833,-77.94868167,North Carolina,
390,34.23287833,-77.94723667,North Carolina,
391,34.22814167,-77.94856,North Carolina,
392,34.24520833,-77.93817333,North Carolina,
393,34.22657333,-77.93926667,North Carolina,
394,34.246364,-77.949536,North Carolina,
395,34.23769167,-77.94517833,North Carolina,
396,34.230365,-77.914285,North Carolina,
397,34.23920667,-77.92024833,North Carolina,
398,34.24505833,-77.91283667,North Carolina,
399,34.24284,-77.90048167,North Carolina,
400,34.25064667,-77.90106167,North Carolina,
401,34.23848333,-77.90187167,North Carolina,
402,34.24254167,-77.92369667,North Carolina,
403,34.2488,-77.920965,North Carolina,
404,34.252045,-77.91658667,North Carolina,
