year,date,time,location,shotspotter_alert,shell_casings,injuries,arrests,additional_details
2021,2021-12-18,1:54 AM,Harvard St & Cherry St,TRUE,,0,0,Shots Fired on 12.18 at 1:54am Harvard St & Cherry St ShotSpotter alert. Multiple shell casings recovered. No injuries reported.
2021,2021-07-26,1:45 AM,Harvard St & Cherry St,TRUE,,0,0,Shots Fired on 7.26 at 1:45am Harvard St & Cherry St ShotSpotter alert. Multiple shell casings recovered. A vehicle and multiple residential buildings in the area sustained ballistic damage. No injuries reported.
2022,2022-02-16,7:20 PM,Windsor St & Harvard St,TRUE,,0,2,Shots Fired on 2.15 at 7:20pm Windsor St & Harvard St ShotSpotter alert. Multiple shell casings recovered. No injuries reported. Two males from Somerville and Lynn have been charged in connection with this incident.
2022,2022-06-18,12:30 PM,Hurley St & First St,FALSE,,0,3,"Shots Fired on 6.18 at 12:30pm Hurley St & First St No ShotSpotter alert. Multiple shell casings recovered. No injuries reported. Three males, two from Boston and one from Somerville, were arrested."
2022,2022-03-11,5:35 PM,Windsor St near School St,TRUE,,0,0,Shots Fired on 3.11 at 5:35pm Windsor St near School St ShotSpotter alert. Ballistic evidence recovered. No injuries reported.
2022,2022-01-19,5:05 PM,River St & Putnam Ave,FALSE,,0,0,Shots Fired on 1.19 at 5:05pm River St & Putnam Ave No ShotSpotter alert. Multiple shell casings recovered. No injuries reported.
2022,2022-01-06,12:53 PM,Pine St & School St,FALSE,,0,0,Shots Fired on 1.6 at 12:53pm Pine St & School St No ShotSpotter alert. Multiple shell casings recovered. No injuries reported.
2022,2022-12-16,12:48 AM,200 block of Garden St,FALSE,1,0,0,"Shots Fired on 12.16 at 12:48am, 200 block of Garden St No ShotSpotter alert. Bullet recovered. No injuries reported."
2022,2022-10-08,12:19 AM,800 block of Mass Ave,FALSE,,0,0,"Shots Fired on 10.8 at 12:19am, 800 block of Mass Ave No ShotSpotter alert. Multiple shell casings recovered. No gunshot injuries reported."
2022,2022-09-11,1:00 PM,Market St & Windsor St,FALSE,,0,1,Shots Fired on 9.11 at 1:00pm Market St & Windsor St No ShotSpotter alert. Multiple shell casings recovered. No injuries reported. Cambridge male arrested.
2022,2022-09-07,4:07 AM,Donnelly Field ,TRUE,,0,0,"Shots Fired on 9.7 at 4:07am, Donnelly Field ShotSpotter alert. Ballistic evidence recovered. No injuries reported."
2022,2022-07-03,2:55 PM,Mass Ave & Douglass St,TRUE,,0,0,Shots Fired on 7.3 at 2:55pm Mass Ave & Douglass St ShotSpotter alert. Ballistic evidence recovered. No injuries reported.
2022,2022-10-03,1:31 AM,Area of 731 Mass Ave,FALSE,,1,0,Shooting on 10.3 at 1:31am Area of 731 Mass Ave No ShotSpotter alert. Multiple shell casings recovered. 34-year-old Cambridge male suffered non-fatal injuries.
2022,2022-08-19,10:32 PM,Hoyt Field,TRUE,,2,0,"Shooting on 8.19 at 10:32pm Hoyt Field ShotSpotter alert. Multiple shell casings recovered. 18-year-old male and 19-year-old male, both from Cambridge, suffered non-fatal injuries."
2022,2022-08-27,12:33 AM,Magee St & Putnam Ave,TRUE,,0,1,Shots Fired on 8.27 at 12:33am Magee St & Putnam Ave ShotSpotter alert. Multiple shell casings recovered. No injuries reported. Everett male arrested.
2022,2022-07-30,2:30 AM,Church St.,FALSE,,0,1,Shots Fired on 7.30 at 2:30am Church St No ShotSpotter alert. Ballistic evidence and a firearm recovered. No injuries reported. One male from Reading arrested.
2023,2023-05-07,11:23 PM,Green Rose Heritage Park area (Harvard St),TRUE,,0,0,Shots Fired on 5/7 at 11:23pm Green Rose Heritage Park area (Harvard St) ShotSpotter alert. Shell casings recovered. No injuries reported.
2023,2023-07-02,1:00 AM,100 block of Harvard St,TRUE,,0,0,Shots Fired on 7/2 at 1:00am 100 block of Harvard St ShotSpotter alert. Shell casings recovered and ballistic damage discovered on multiple vehicles. No injuries reported.
2023,2023-07-16,3:50 AM,Harvard St and Davis St,TRUE,,1,0,Shooting on 7.16 at 3:50am Harvard St at Davis St ShotSpotter alert. 25-year-old male from Cambridge non-fatally shot. Numerous shell casings recovered.
2023,2023-07-16,2:20 PM,Market St (location unconfirmed),FALSE,,1,0,Shooting on 7.16 at 2:20pm Market St (location unconfirmed) No ShotSpotter alert. 24-year-old male from Cambridge walked into CCH w/ non-fatal gunshot wound. Exact location of shooting unknown.
2023,2023-01-09,8:20 PM,100 block of Washington St,TRUE,,2,0,Shooting on 1.09 at 8:20pm 100 block of Washington St ShotSpotter alert. 19-year-old male from Boston and 20-year-old female from Cambridge non-fatally shot.
2023,2023-11-23,12:30 AM,0 block of Magazine St.,FALSE,,2,0,Homicide on 11.23 at 12:30am 0 block of Magazine St No ShotSpotter alert. 27-year-old female from Cambridge fatally shot and 26-year-old male from Boston non-fatally shot.
2024,2024-05-04,2:15 AM,Fawcett St ,FALSE,,0,1,Shot Fired on 5/4 at 2:15am Fawcett St No ShotSpotter alert. Shell casing recovered. No injuries reported. Firearm arrest made.
2024,2024-05-23,9:39 PM,Donnelly Field ,TRUE,,2,2,"Shooting on 5/23 at 9:39pm Donnelly Field ShotSpotter alert. A 23-year-old male and a 22-year-old female, both of Cambridge, sustained non-fatal gunshot wounds. Multiple shell casings and bullet fragments recovered. Two arrests made in connection with incident so far."
2024,2024-06-26,10:37 PM,Newtowne Court,FALSE,,0,0,Shots Fired on 6/26 at 10:37pm Newtowne Court No ShotSpotter alert. Shell casings and bullet fragment recovered. No injuries reported.
2024,2024-02-01,4:12 PM,Pine St & Washington St,FALSE,,0,0,Shots Fired on 2/1 at 4:12pm Pine St & Washington St No ShotSpotter alert. Shell casings recovered. No injuries reported.
2024,2024-01-25,9:20 PM,Field St & Fern St,FALSE,,0,0,Shots Fired on 1/25 at 9:20pm Field St & Fern St No ShotSpotter alert. Shell casings recovered. No injuries reported.
2024,2024-07-04,10:00 PM,Clark St & Dickinson St,FALSE,,0,0,Shots Fired on 7/4 at Approx. 10:00pm Clark St & Dickinson St No ShotSpotter alert. Shell casings recovered. No injuries reported.
2024,2024-07-16,9:12 PM,100 block of Harvard St,TRUE,,1,0,Shooting on 7/16 at 9:12pm 100 block of Harvard St ShotSpotter alert. Shell casings recovered. 48-yearold Cambridge male nonfatally shot.
2024,2024-08-28,5:15 PM,Ames St & Memorial Dr,FALSE,,1,0,Shooting on 8/28 at 5:15pm; Ames St & Memorial Dr No ShotSpotter alert. Road rage incident. One male non-fatally shot. STATE POLICE JURISDICTION.
2024,2024-07-21,1:24 AM,Fairmount St near Pleasant St,TRUE,,0,0,Shots Fired on 7/21 at 1:24am Fairmont St near Pleasant St ShotSpotter alert. Shell casings recovered. No injuries reported.
2024,2024-07-28,11:17 PM,200 block of Putnam Ave,TRUE,0,0,0,Shots Fired on 7/28 at 11:17pm. 200 block of Putnam Ave ShotSpotter alert and multiple 911 calls. No shell casings located at this time. No injuries reported.
2024,2024-08-24,8:32 PM,200 block of Harvard St,TRUE,,0,0,Shots Fired on 8/24 at 8:32pm 200 block of Harvard St ShotSpotter alert. Shell casings recovered. No injuries reported.
